,Brand,Model,Year,Overall Score,Road Test Score,Reliability Score,Owner Satisfaction,Warranty,Drivetrain Warranty,Corrosion Waranty,Roadside Aid,Free Maintenance,Acceleration Score,Zero To Sixty,Transmission Score,Fuel Economy Score,Overall Fuel Economy,City Fuel Economy,Highway Fuel Economy,Annual Fuel Cost,Braking Score,Emergency Handling Score,Ride Score,Noise Score,Front Seat Score,Rear Seat Score,Interior Finish Score,Trunk Score,Seats,Zero To Thirty,Fortyfive To Sixty,Quarter Mile,Quarter Speed,Routine Handling Score,Avoidance Max Speed,Wet Braking,Dry Braking,Headlights,Driving Position,Front Shoulder Room,Front Leg Room,Front Head Room,Rear Shoulder Room,Rear Leg Room,Rear Head Room,Third Row Score,Third Shoulder Room,Third Leg Room,Third Head Room,Front Access,Rear Access,Third Access,Usability,Climate System,Fuel Capacity,Fuel Type,Forward Collision Warning,City Automatic Braking,Highway Automatic Braking,Pedestrian Detection,Lane Departure Warning,Lane Keep Assist,Blind Spot Warning,Rear Traffic Warning,Rear View Camera,Anti Lock Breaks,Traction Control,Stability Control,Daytime Running Lights,Side Airbags,Head Airbags,IIHS Moderate Overlap,IIHS Driver Overlap,IIHS Passenger Overlap,IIHS Side Crash,IIHS Rear Crash,IIHS Roof Crush,Length,Width,Height,Wheelbase,Turning Circle,Curb Weight,Max Load,Towing Capacity,Driving Satisfaction,Comfort Satisfaction,Value Satisfaction,Styling Satisfaction,Nameplate (Cleaned)
0,gmc,terrain,2020,69,67,4,3,"3 years/36,000 miles","5 years/60,000 miles","3 years/36,000 miles","5 years/60,000 miles",1 year/1 visit,4,7.2,4,3,22,14,30,"1,340",5,4,3,3,4,4,3,3,"2 front, 3 rear",2.8,4.7,15.6,93,3,54,128,136,3,3,56.5,42.5,4.5,53.5,30,2.5,N,,,,5,4,N,2,5,15.6,Regular,Standard,Standard,,Standard,Standard,Standard,Optional,Optional,Standard,Standard,Standard,Standard,Standard,Standard front,Standard,Good,Good,Good,Good,Good,Good,182,72,65,107,39,3800,985,3500,74,63,61,79,terrain
0,nissan,maxima,2020,80,81,4,3,"3 years/36,000 miles","5 years/60,000 miles",5 years/unlimited miles,"3 years/36,000 miles",,5,6.5,5,4,25,17,36,"1,330",4,4,3,4,5,3,5,3,"2 front, 3 rear",2.8,4.3,14.9,99,4,53,132,141,3,3,56,41.5,2.5,53,28,2,N,,,,3,3,N,5,5,18,Premium,Standard,Standard,Standard,Standard,Standard,Optional,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard front & rear,Standard,Good,Good,Good,Good,Good,Good,193,73,57,109,39,3535,900,,92,75,60,91,maxima
0,chrysler,300,2020,78,83,4,4,"3 years/36,000 miles","5 years/60,000 miles",5 years/unlimited miles,"5 years/60,000 miles",,4,7.4,5,3,22,15,32,"1,300",4,3,4,5,5,5,5,3,"2 front, 3 rear",3.2,4.6,15.8,95,4,50,137,142,1,4,57.5,43,3,54.5,29.5,2.5,N,,,,4,4,N,4,5,18.5,Regular,Optional,Optional,Optional,,Optional,Optional,Optional,Optional,Standard,Standard,Standard,Standard,Standard,Standard front,Standard,Good,Marginal,,Good,Good,Good,199,75,58,120,40,4095,865,1000,87,87,77,93,300
0,subaru,ascent,2020,82,93,3,5,"3 years/36,000 miles","5 years/60,000 miles",5 years/unlimited miles,"3 years/36,000 miles",,4,8,5,3,22,14,32,"1,315",5,3,5,4,4,5,4,3,"2 front, 3 rear, 3 third",3.3,4.8,16.4,88,3,52,129,136,3,4,60,43.5,5.5,59.5,29,3.5,1,55.5,24.5,,5,5,1,5,5,19.3,Regular,Standard,Standard,Standard,Standard,Standard,Standard,Optional,Optional,Standard,Standard,Standard,Standard,Standard,Standard front,Standard,Good,Good,Good,Good,Good,Good,197,76,72,114,40,4550,1160,5000,85,85,79,79,ascent
0,chevrolet,bolt,2020,70,76,3,4,,,,,,4,6.8,5,5,119,128,110,A,3,4,3,5,2,3,3,3,"2 front, 3 rear",3,3.5,15.3,93,4,53,138,145,4,3,54,42.5,5.5,54,29.5,3,N,,,,4,3,N,4,4,,Electric,Optional,Optional,,Optional,Optional,Optional,Optional,Optional,Standard,Standard,Standard,Standard,Standard,Standard front & rear,Standard,Good,Good,Acceptable,Good,Good,Good,164,70,63,102,36,3545,875,,91,42,67,61,bolt
0,kia,niro,2020,63,65,3,4,"5 years/60,000 miles","10 years/100,000 miles","5 years/100,000 miles","5 years/60,000 miles",,3,9.9,4,5,43,33,52,670,3,3,3,3,3,4,3,3,"2 front, 3 rear",3.6,6.6,17.6,80,3,51,143,152,3,4,55,42.5,5,53,28.5,4.5,N,,,,4,4,N,5,5,11.9,Regular,Optional,Optional,Optional,Optional,Optional,Optional,Optional,Optional,Standard,Standard,Standard,Standard,Standard,Standard front,Standard,Good,Good,Good,Good,Good,Good,172,71,60,106,36,3155,850,,55,59,70,71,niro
0,buick,enclave,2020,76,87,3,4,,,,,,4,7.4,5,2,18,12,26,"1,590",5,3,4,5,4,5,4,4,"2 front, 2 rear, 3 third",3.1,4.7,15.8,92,4,54,130,141,4,4,62,43,5.5,61.5,31.5,3.5,1,57,25,,5,5,2,3,5,21.7,Regular,Optional,Optional,Optional,Optional,Optional,Optional,Optional,Optional,Standard,Standard,Standard,Standard,Standard,Standard front,Standard with rollover,Good,Good,,Good,Good,Good,204,79,70,121,41,4690,1625,5000,84,84,58,86,enclave
0,volkswagen,passat,2020,73,77,3,4,"4 years/50,000 miles","4 years/50,000 miles","7 years/100,000 miles","3 years/36,000 miles","2 years/20,000 miles",4,7.9,4,4,28,17,43,"1,045",4,3,3,4,4,5,3,3,"2 front, 3 rear",3,5.5,16,91,4,52,130,142,2,4,56,42.5,3.5,55.5,33,3,N,,,,4,4,N,5,5,18.5,Regular,Standard,Standard,Standard,Standard,Optional,Optional,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard front,Standard,Good,Good,Good,Good,Good,Good,194,72,58,110,38,3315,925,,,,,,passat
0,lexus,is,2020,69,56,5,1,"4 years/50,000 miles","6 years/70,000 miles",6 years/unlimited miles,4 years/unlimited miles,"1 years/10,000 miles",5,6.5,5,2,20,14,28,"1,670",3,3,3,4,4,2,4,2,"2 front, 3 rear",2.6,4.1,15,96,4,53,139,151,3,2,55,42.5,3,51.5,28.5,2.5,N,,,,3,2,N,3,5,17.5,Premium,Standard,Standard,Standard,Standard,Standard,Standard,Optional,Optional,Standard,Standard,Standard,Standard,Standard,Standard front,Standard,Good,Good,,Good,Good,Good,184,71,56,110,37,3850,825,,,,,,is
0,ford,fusion,2020,72,81,3,4,"3 years/36,000 miles","5 years/60,000 miles",5 years/unlimited miles,"5 years/60,000 miles",,3,9.2,4,3,24,16,34,"1,185",5,4,5,4,3,4,3,3,"2 front, 3 rear",3.2,6.1,17,84,5,53,125,137,3,4,57.5,42,5,54.5,29,3,N,,,,4,4,N,4,3,16.5,Regular,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard front,Standard,Good,Good,Good,Good,,Good,192,73,58,112,38,3505,850,1000,76,76,77,85,fusion
0,audi,a6,2020,64,93,1,4,"4 years/50,000 miles","4 years/50,000 miles",12 years/unlimited miles,4 years/unlimited miles,,4,6.8,4,4,26,17,39,"1,285",5,4,4,5,5,5,5,3,"2 front, 3 rear",2.8,4.3,15.3,96,4,56,129,137,2,4,57,43,4.5,55,30,3,N,,,,4,4,N,3,5,19.3,Premium,Standard,Standard,Standard,Standard,Standard,Optional,Optional,Optional,Standard,Standard,Standard,Standard,Standard,Standard front & optional rear,Standard,Good,Good,Good,Good,Good,Good,195,74,57,115,38,4015,1100,3500,91,85,59,89,a6
0,lincoln,aviator,2020,72,82,2,4,"4 years/50,000 miles","6 years/70,000 miles",5 years/unlimited miles,unlimited years/unlimited miles,,5,6.2,4,2,19,12,28,"1,515",3,3,4,5,4,4,5,4,"2 front, 3 rear, 2 third",2.5,4.2,14.8,98,4,52,138,145,1,4,61,41,5,61,29,3,1,50,21,3,4,4,1,2,5,20.2,Regular,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard front,Standard with rollover,Good,Acceptable,,Good,Good,Good,199,80,70,119,41,5065,1415,6700,,,,,aviator
0,dodge,durango,2020,63,83,2,4,"3 years/36,000 miles","5 years/60,000 miles",5 years/unlimited miles,"5 years/60,000 miles",,4,8.3,5,2,18,12,25,"1,585",4,2,4,5,5,4,4,4,"2 front, 3 rear, 2 third",3.1,6,16.4,87,3,48,134,150,3,4,58,42,4,57,28,5,3,49,26,,4,4,2,5,5,25,Regular,Optional,Optional,Optional,,Optional,Optional,Optional,Optional,Standard,Standard,Standard,Standard,Optional,Standard front,Standard,Good,Marginal,,Good,Good,Good,200,76,71,120,41,5105,1200,6200,85,86,71,84,durango
0,bmw,x3,2020,78,92,3,4,"4 years/50,000 miles","4 years/50,000 miles",12 years/unlimited miles,4 years/unlimited miles,"3 years/36,000 miles",4,7.7,5,3,24,16,36,"1,400",5,3,4,5,5,4,5,3,"2 front, 3 rear",3.1,5,16,92,4,51,128,138,2,4,57.5,43.5,5.5,55.5,29,4.5,N,,,,5,4,N,3,5,17.2,Premium,Standard,Standard,Optional,Standard,Optional,Optional,Optional,Optional,Standard,Standard,Standard,Standard,Standard,Standard front,Standard,Good,Good,Good,Good,Good,Good,186,74,66,113,41,4220,935,4410,90,82,54,84,x3
0,ford,mustang,2020,72,84,3,5,"3 years/36,000 miles","5 years/60,000 miles",5 years/unlimited miles,"5 years/60,000 miles",,5,4.9,5,2,19,13,27,"1,515",5,4,3,3,4,1,4,2,"2 front, 2 rear",2.1,2.8,13.4,111,5,55,121,133,4,4,56,42.5,4,50,23,,N,,,,3,1,N,4,5,16,Regular,Optional,Optional,Optional,Optional,Optional,Optional,Optional,Optional,Standard,Standard,Standard,Standard,Standard,Standard front,Standard,Good,Acceptable,,Good,Good,Good,188,75,54,107,39,3845,670,1000,95,76,74,97,mustang
0,audi,e-tron,2020,81,84,4,5,,,,,,5,6.3,5,5,74,74,73,A,4,3,5,5,5,5,5,2,"2 front, 3 rear",2.9,3.1,14.8,99,4,50,131,134,2,4,58.5,42.5,4.5,55.5,30,4,N,,,,4,4,N,3,5,,Electric,Standard,Standard,Standard,Standard,Standard,Optional,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard front & optional rear,Standard,Good,Good,Good,Good,Good,Good,193,76,66,115,42,5795,1060,3970,97,10,57,93,etron
0,mazda,mx-5-miata,2020,86,80,5,5,"3 years/36,000 miles","5 years/60,000 miles",5 years/unlimited miles,"3 years/36,000 miles",,4,6.7,5,5,34,25,42,"1,000",5,5,2,1,3,N,3,1,2 front,2.2,4.1,15.1,92,5,58,124,133,3,2,51.5,41,2,,,,N,,,,1,N,N,3,3,11.9,Premium,Standard,Standard,,,Standard,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard front,Not offered,,,,,,,154,68,49,91,32,2335,340,,91,44,77,97,mx5miata
0,ford,ranger,2020,65,55,4,4,"3 years/36,000 miles","5 years/60,000 miles",5 years/unlimited miles,"5 years/60,000 miles",,4,7.4,4,2,20,14,27,"1,430",3,2,2,3,3,3,3,4,"2 front, 3 rear",3.2,5,15.8,92,3,47,143,150,3,3,56.5,42,6.5,56,28,3.5,N,,,,3,3,N,3,5,18,Regular,Standard,Standard,Standard,Standard,Optional,Optional,Optional,Optional,Standard,Standard,Standard,Standard,Standard,Standard front,Standard,Good,Good,Acceptable,Good,Good,Good,211,73,72,127,43,4505,1460,7500,85,67,57,87,ranger
0,kia,cadenza,2020,85,91,4,2,,,,,,4,7,5,3,24,16,36,"1,190",5,4,4,4,5,5,4,4,"2 front, 3 rear",2.9,4.4,15.3,98,3,52,127,141,3,4,57,42,3,54.5,31,3,N,,,,4,4,N,5,5,18.5,Regular,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard front & rear,Standard,Good,Good,Good,Good,Good,Good,197,74,58,112,39,3725,905,,64,68,64,84,cadenza
0,lexus,nx,2020,80,74,5,2,"4 years/50,000 miles","6 years/70,000 miles",6 years/unlimited miles,4 years/unlimited miles,"1 years/10,000 miles",4,7.5,5,3,24,17,33,"1,380",4,3,3,4,4,4,4,2,"2 front, 3 rear",3,5,15.9,92,4,50,132,137,4,3,56.5,42,3,57,30,3.5,N,,,,4,4,N,3,5,15.9,Premium,Standard,Standard,Standard,Standard,Standard,Standard,Optional,Optional,Standard,Standard,Standard,Standard,Standard,Standard front,Standard,Good,Good,Good,Good,Good,Good,183,74,65,105,41,4000,895,2000,76,72,56,80,nx
0,gmc,yukon,2020,68,67,3,4,"3 years/36,000 miles","5 years/60,000 miles","3 years/36,000 miles","5 years/60,000 miles",1 year/1 visit,4,7.7,4,1,16,10,23,"1,815",4,1,3,5,4,4,4,4,"3 front, 3 rear, 3 third",2.8,4.9,15.9,90,2,45,136,140,4,4,64.5,43.5,4.5,64.5,30,4.5,1,63.5,27,,4,4,3,5,5,26,Regular,Optional,Optional,Optional,,Optional,Optional,Optional,Optional,Standard,Standard,Standard,Standard,Standard,Standard front,Standard with rollover,,,,,,,204,81,74,116,41,5635,1580,8200,80,80,57,82,yukon
0,audi,q3,2020,78,84,3,4,"4 years/50,000 miles","4 years/50,000 miles",12 years/unlimited miles,4 years/unlimited miles,,4,7.8,4,3,23,15,33,"1,260",5,3,4,4,5,4,4,1,"2 front, 3 rear",3.2,4.9,16.1,91,4,53,126,135,2,4,57,42,4.5,53.5,26.5,4,N,,,,4,4,N,4,5,15.9,Regular,Standard,Standard,Standard,Standard,Optional,Optional,Optional,Optional,Standard,Standard,Standard,Standard,Standard,Standard front & optional rear,Standard,Good,Good,Good,Good,Good,Good,177,73,63,106,40,3880,1090,1500,,,,,q3
0,volkswagen,atlas,2020,61,84,1,3,"4 years/50,000 miles","4 years/50,000 miles","7 years/100,000 miles","3 years/36,000 miles","2 years/20,000 miles",3,8.7,5,2,20,13,28,"1,455",4,3,4,4,4,5,4,4,"2 front, 3 rear, 2 third",3.5,5.6,16.7,88,4,51,135,148,3,4,61,43,6.5,59.5,32.5,5,3,53,28,1.5,4,5,2,4,5,18.6,Regular,Standard,Standard,Standard,Standard,Optional,Optional,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard front,Standard,Good,Good,Good,Good,Good,Good,198,78,70,117,40,4670,1215,5000,62,77,63,83,atlas
0,jaguar,f-pace,2020,54,72,2,2,"5 years/60,000 miles","5 years/60,000 miles",6 years/unlimited miles,"5 years/60,000 miles","5 years/60,000 miles",5,6,5,2,20,14,27,"1,690",5,3,3,3,5,4,4,2,"2 front, 3 rear",2.4,3.9,14.4,100,4,51,129,139,2,3,57,41,4,55,27.5,3,N,,,,4,4,N,3,5,16.6,Premium,Standard,Standard,Optional,Standard,Standard,Standard,Optional,Optional,Standard,Standard,Standard,Standard,Standard,Standard front,Standard,,,,,,,186,87,66,113,41,4350,960,5290,95,73,46,84,fpace
0,buick,regal,2020,64,87,2,4,,,,,,4,7,4,3,23,15,34,"1,435",5,4,4,4,4,3,4,4,"2 front, 3 rear",2.9,4.4,15.3,97,4,56,125,133,1,4,56.5,42.5,4,55.5,30,2,N,,,,3,3,N,5,5,16.5,Premium,Optional,Optional,Optional,Optional,Optional,Optional,Optional,Optional,Standard,Standard,Standard,Standard,Available,Standard front & rear,Standard with rollover,Good,Good,,Good,,,193,73,57,111,39,3680,925,,82,75,77,86,regal
0,honda,odyssey,2020,61,85,2,3,"3 years/36,000 miles","5 years/60,000 miles",5 years/unlimited miles,"3 years/36,000 miles",,4,8.1,4,3,22,14,33,"1,320",4,3,4,4,4,5,4,4,"2 front, 3 rear, 3 third",3.4,5.1,16.4,89,3,50,136,152,3,4,61.5,41,5,60.5,31,5,3,59,29.5,4,5,5,2,4,5,19.5,Regular,Optional,Optional,Optional,Optional,Optional,Optional,Optional,Optional,Standard,Standard,Standard,Standard,Standard,Standard front,Standard with rollover,Good,Good,Good,Good,Good,Good,203,79,68,118,41,4490,1340,3500,73,77,56,76,odyssey
0,toyota,sequoia,2020,73,60,5,4,"3 years/36,000 miles","5 years/60,000 miles",5 years/unlimited miles,"2 years/25,000 miles","2 years/25,000 miles",4,7.1,5,1,15,10,21,"1,975",2,2,2,4,4,5,4,5,"2 front, 3 rear, 3 third",2.7,4.7,15.6,92,3,47,146,163,3,3,65.5,41.5,3.5,65.5,33.5,4.5,3,65,26,4,3,4,2,4,5,26.4,Regular,Standard,Standard,Standard,Standard,Standard,,Standard,Standard,Standard,Standard,Standard,Standard,Optional,Standard front,Standard with rollover,,,,,,,205,80,75,122,42,6025,1230,7300,73,92,62,62,sequoia
0,honda,passport,2020,59,79,1,4,"3 years/36,000 miles","5 years/60,000 miles",5 years/unlimited miles,"3 years/36,000 miles",,5,6.4,4,3,21,14,28,"1,395",4,3,3,4,4,4,4,3,"2 front, 3 rear",2.5,2.9,15,95,3,54,135,143,4,4,61,41,5.5,60.5,30,5,N,,,,4,4,N,4,5,19.5,Regular,Standard,Standard,Standard,Standard,Standard,Standard,Optional,Optional,Standard,Standard,Standard,Standard,Standard,Standard front,Standard,Good,Good,Acceptable,Good,Good,Good,191,79,72,111,40,4170,950,5000,79,81,60,78,passport
0,toyota,prius-prime,2020,79,74,5,4,"3 years/36,000 miles","5 years/60,000 miles",5 years/unlimited miles,2 years/unlimited miles,"2 years/25,000 miles",2,10.8,5,5,69,56,81,415,3,4,4,4,4,3,3,3,"2 front, 3 rear",3.7,,,,4,55,139,147,4,4,54,42,5.5,51.5,28,2,N,,,,4,3,N,3,4,11.4,Regular,Standard,Standard,Standard,Standard,Standard,Standard,Optional,Optional,Standard,Standard,Standard,Standard,Standard,Standard front,Standard,Good,Good,Acceptable,Good,Good,Good,183,69,58,106,35,3410,670,,70,64,73,64,priusprime
0,bmw,7-series,2020,86,99,3,4,"4 years/50,000 miles","4 years/50,000 miles",12 years/unlimited miles,4 years/unlimited miles,"3 years/36,000 miles",5,5.3,5,3,21,14,33,"1,565",4,4,5,5,5,5,5,3,"2 front, 3 rear",2.4,3.4,13.6,111,4,53,131,147,1,5,59,42.5,4,55,32.5,3.5,N,,,,4,5,N,3,5,20.6,Premium,Standard,Standard,Optional,Standard,Standard,Optional,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard front & optional rear,Standard,,,,,,,207,75,58,126,43,4710,960,,,,,,7series
0,cadillac,xt4,2020,52,78,1,3,"4 years/50,000 miles","6 years/70,000 miles","4 years/50,000 miles","6 years/70,000 miles",1 year/1 visit,4,7.6,5,3,23,16,31,"1,480",5,4,3,3,5,3,4,2,"2 front, 3 rear",3,3.6,15.9,91,4,55,128,141,3,4,56.5,42.5,3.5,54,26.5,1.5,N,,,,4,4,N,4,5,16.3,Premium,Standard,Standard,Optional,Standard,Optional,Optional,Optional,Optional,Standard,Standard,Standard,Standard,Standard,Standard front,Standard,Good,,,Good,,,181,77,63,109,39,3930,970,3500,75,70,58,89,xt4
0,mazda,cx-3,2020,73,64,5,1,"3 years/36,000 miles","5 years/60,000 miles",5 years/unlimited miles,"3 years/36,000 miles",,3,9.6,5,4,28,20,36,"1,030",4,4,3,3,3,2,3,1,"2 front, 3 rear",3.5,5.9,17.4,82,5,54,135,148,3,3,52.5,41.5,4,48,25.5,3,N,,,,4,2,N,3,3,11.9,Regular,Standard,Standard,Standard,Standard,Standard,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard front,Standard with rollover,Good,Good,Good,Good,Good,Good,168,70,61,101,36,2945,850,,68,37,55,81,cx3
0,volkswagen,golf,2020,79,82,3,4,"4 years/50,000 miles","4 years/50,000 miles","7 years/100,000 miles","3 years/36,000 miles","2 years/20,000 miles",3,8.7,4,4,28,19,38,"1,045",5,4,4,4,4,4,4,3,"2 front, 3 rear",3.2,5.6,16.7,87,4,54,130,137,1,4,55.5,44,4,52.5,28,3.5,N,,,,4,3,N,5,4,13.2,Regular,Standard,Standard,Standard,Standard,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard front,Standard,Good,Good,Acceptable,Good,Good,Good,168,71,57,104,37,3090,1005,,84,74,65,80,golf
0,audi,tt,2020,78,84,4,4,"4 years/50,000 miles","4 years/50,000 miles",12 years/unlimited miles,4 years/unlimited miles,,5,6.3,5,4,26,18,35,"1,295",5,5,3,3,5,1,5,2,"2 front, 2 rear",2.5,4.3,14.8,98,5,58,113,122,2,4,53,41.5,3.5,46.5,19.5,,N,,,,2,1,N,2,4,14.5,Premium,,,,,,,Optional,,Standard,Standard,Standard,Standard,Standard,Standard front,Standard,,,,,,,165,72,53,99,36,3140,770,,,,,,tt
0,honda,pilot,2020,75,80,3,3,"3 years/36,000 miles","5 years/60,000 miles",5 years/unlimited miles,"3 years/36,000 miles",,4,7.5,5,2,20,13,28,"1,460",3,3,4,4,4,5,4,4,"2 front, 3 rear, 3 third",3.2,5.3,15.9,92,3,50,136,153,2,4,61,41,6,60.5,28,5.5,2,56,27.5,4.5,5,5,2,3,5,19.5,Regular,Standard,Standard,Standard,Standard,Standard,Standard,Optional,Optional,Standard,Standard,Standard,Standard,Standard,Standard front,Standard with rollover,Good,Good,Acceptable,Good,Good,Good,197,79,71,110,41,4280,1340,5000,71,73,60,72,pilot
0,lincoln,corsair,2020,67,82,2,4,"4 years/50,000 miles","6 years/70,000 miles",5 years/unlimited miles,unlimited years/unlimited miles,,4,7.2,4,3,23,15,33,"1,275",5,4,4,4,4,4,5,2,"2 front, 3 rear",2.8,4.8,15.7,90,4,55,128,139,4,4,56.5,41,5,55.5,28,3,N,,,,4,4,N,2,5,16.2,Regular,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard front,Standard,Good,Good,Good,Good,Good,Good,181,76,64,107,38,3910,850,3000,,,,,corsair
0,volvo,xc60,2020,71,79,3,3,"4 years/50,000 miles","4 years/50,000 miles",12 years/unlimited miles,4 years/unlimited miles,"3 years/36,000 miles",4,8,4,3,23,15,32,"1,470",5,3,3,4,5,4,5,3,"2 front, 3 rear",3,5.5,16.2,90,4,52,124,129,4,4,58,43,5,56,28.5,4,N,,,,4,4,N,2,5,18.8,Premium,Standard,Standard,Standard,Standard,Standard,Standard,Optional,Optional,Standard,Standard,Standard,Standard,Standard,Standard front,Standard with rollover,Good,Good,Good,Good,Good,Good,185,79,65,113,39,4150,950,3500,82,87,60,90,xc60
0,nissan,kicks,2020,61,64,3,2,"3 years/36,000 miles","5 years/60,000 miles",5 years/unlimited miles,"3 years/36,000 miles",,3,10.5,4,5,32,24,40,910,4,3,3,3,3,4,3,4,"2 front, 3 rear",4,7.3,18.1,79,3,52,137,143,3,4,53,42.5,6,51,27,4,N,,,,4,4,N,5,4,10.8,Regular,Standard,Standard,Standard,Standard,Standard,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard front,Standard,Good,Good,Acceptable,Good,Good,Good,169,69,62,103,35,2630,850,,,,,,kicks
0,subaru,forester,2020,84,90,3,5,"3 years/36,000 miles","5 years/60,000 miles",5 years/unlimited miles,"3 years/36,000 miles",,3,9.2,4,4,28,20,38,"1,030",5,3,4,3,4,5,4,3,"2 front, 3 rear",3.7,4.6,17.2,85,4,53,130,138,3,5,57,43,5,55,30,3,N,,,,5,5,N,5,4,16.6,Regular,Standard,Standard,Standard,Standard,Standard,Standard,Optional,Optional,Standard,Standard,Standard,Standard,Standard,Standard front,Standard with rollover,Good,Good,Good,Good,Good,Good,182,72,68,105,36,3485,900,1500,77,77,76,78,forester
0,nissan,sentra,2020,73,81,3,3,"3 years/36,000 miles","5 years/60,000 miles",5 years/unlimited miles,"3 years/36,000 miles",,4,8.5,4,5,32,22,44,895,5,4,4,4,3,4,4,4,"2 front, 3 rear",3.5,5.7,16.7,87,4,56,129,138,1,3,55.5,42,5.5,52,28,2,N,,,,4,3,N,5,4,12.4,Regular,Standard,Standard,Standard,Standard,Standard,,Standard,Standard,Standard,Standard,Standard,Standard,Available,Standard front & rear,Standard,Good,Good,Good,Good,,,183,72,57,107,39,3000,880,,41,36,62,62,sentra
0,jeep,gladiator,2020,46,52,2,4,"3 years/36,000 miles","5 years/60,000 miles",5 years/unlimited miles,"5 years/60,000 miles",2 years/unlimited miles,4,7.8,5,2,18,13,23,"1,590",4,2,3,2,3,3,3,4,"2 front, 3 rear",2.8,5.5,16.1,88,2,50,135,144,2,3,56,41.5,4.5,56,29,6.5,N,,,,1,1,N,4,5,22,Regular,Optional,Optional,Optional,,,,Optional,Optional,Standard,Standard,Standard,Standard,Standard,Standard front,Not offered,,,,,,,218,74,75,137,46,4650,1450,7650,,,,,gladiator
0,acura,rlx,2020,72,75,3,3,"4 years/50,000 miles","6 years/70,000 miles",5 years/unlimited miles,"4 years/50,000 miles",,5,6.5,5,3,23,15,36,"1,450",5,3,3,4,5,4,5,3,"2 front, 3 rear",2.7,4.4,15,97,3,52,128,138,3,4,59.5,41.5,3.5,56,31,3,N,,,,4,4,N,2,5,18.5,Premium,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard front,Standard,Good,Good,,Good,Good,Good,198,74,58,112,40,3930,850,,,,,,rlx
0,nissan,rogue-sport,2020,78,72,5,2,"3 years/36,000 miles","5 years/60,000 miles",5 years/unlimited miles,"3 years/36,000 miles",,3,10.3,4,4,26,19,34,"1,110",4,3,4,4,4,3,3,1,"2 front, 3 rear",3.8,6.2,17.9,80,4,53,134,139,3,4,56,41.5,5,53,27,4,N,,,,4,3,N,5,4,14.5,Regular,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard front,Standard,Good,Good,,Good,,,173,72,63,104,38,3365,900,,62,60,62,75,roguesport
0,mitsubishi,outlander,2020,54,59,3,2,"5 years/60,000 miles","10 years/100,000 miles","7 years/100,000 miles",5 years/unlimited miles,,3,10,3,3,24,17,30,"1,210",4,2,3,3,3,4,3,3,"2 front, 3 rear, 2 third",3.8,6,17.7,81,2,51,132,149,3,4,56,40.5,5.5,55,29.5,3.5,N,51,24,,4,4,1,4,5,15.8,Regular,Optional,Optional,,Optional,Optional,,Optional,Optional,Standard,Standard,Standard,Standard,Standard,Standard front,Standard with rollover,Good,Good,Good,Good,Good,Good,185,71,66,105,36,3610,1155,1500,63,54,56,71,outlander
0,kia,sorento,2020,74,78,4,3,"5 years/60,000 miles","10 years/100,000 miles","5 years/100,000 miles","5 years/60,000 miles",,4,8.1,5,3,22,14,31,"1,330",4,2,4,4,4,4,4,3,"2 front, 3 rear, 2 third",3,5.7,16.2,90,3,49,137,143,3,4,58.5,42,4,56.5,27.5,3.5,1,52,26,,5,5,1,5,5,18.8,Regular,Optional,Optional,Optional,Optional,Optional,Optional,Optional,Optional,Standard,Standard,Standard,Standard,Not offered,Standard front,Standard,Good,Good,Good,Good,Good,Good,189,74,66,109,39,4285,1120,5000,74,74,69,76,sorento
0,audi,q5,2020,74,83,3,4,"4 years/50,000 miles","4 years/50,000 miles",12 years/unlimited miles,4 years/unlimited miles,,4,6.8,5,3,24,17,34,"1,370",4,3,4,4,4,4,4,2,"2 front, 3 rear",2.7,4.6,15.4,94,4,53,130,144,2,4,57.5,41,5,55,27.5,2.5,N,,,,4,4,N,3,5,18.5,Premium,Standard,Standard,Optional,Standard,Optional,Optional,Optional,Optional,Standard,Standard,Standard,Standard,Standard,Standard front & optional rear,Standard with rollover,Good,Good,Good,Good,Good,Good,184,75,65,111,40,4140,1060,4400,88,76,56,85,q5
